Num X cells: 60
Num Y cells: 80
Num ghost cells: 4
Time: 0.364286
-1.05 -0.3375 6.15772e-27
-1.05 -0.3125 -2.66328e-26
-1.05 -0.2875 -3.93987e-25
-1.05 -0.2625 1.62077e-24
-1.05 -0.2375 1.89204e-22
-1.05 -0.2125 4.45573e-23
-1.05 -0.1875 5.67656e-23
-1.05 -0.1625 -6.7318e-24
-1.05 -0.1375 4.28495e-23
-1.05 -0.1125 2.66043e-23
-1.05 -0.0875 2.86344e-23
-1.05 -0.0625 2.85853e-23
-1.05 -0.0375 2.57435e-23
-1.05 -0.0125 3.08842e-23
-1.05 0.0125 2.66176e-23
-1.05 0.0375 2.62908e-23
-1.05 0.0625 2.59763e-23
-1.05 0.0875 2.60488e-23
-1.05 0.1125 2.57219e-23
-1.05 0.1375 2.57394e-23
-1.05 0.1625 2.39649e-23
-1.05 0.1875 3.15218e-23
-1.05 0.2125 4.14153e-23
-1.05 0.2375 -1.11842e-23
-1.05 0.2625 1.62214e-22
-1.05 0.2875 2.92295e-23
-1.05 0.3125 -3.95237e-24
-1.05 0.3375 5.33885e-25
-1.05 0.3625 -1.40912e-25
-1.05 0.3875 5.06981e-26
-1.05 0.4125 -8.456e-27
-1.05 0.4375 4.14733e-28
-1.05 0.4625 1.21553e-28
-1.05 0.4875 -3.54115e-29
-1.05 0.5125 6.3784e-30
-1.05 0.5375 -1.08537e-30
-1.05 0.5625 1.69877e-31
-1.05 0.5875 -1.85167e-32
-1.05 0.6125 6.49213e-34
-1.05 0.6375 2.39639e-34
-1.05 0.6625 -6.98247e-35
-1.05 0.6875 1.25081e-35
-1.05 0.7125 -1.82273e-36
-1.05 0.7375 2.20225e-37
-1.05 0.7625 -1.91681e-38
-1.05 0.7875 3.75391e-40
-1.05 0.8125 2.73317e-40
-1.05 0.8375 -7.14602e-41
-1.05 0.8625 1.20441e-41
-1.05 0.8875 -1.60885e-42
-1.05 0.9125 1.7262e-43
-1.05 0.9375 -1.28647e-44
-1.05 0.9625 3.23426e-47
-1.05 0.9875 2.12347e-46
-1.05 1.0125 3.5549e-61
-1.05 1.0375 -7.84547e-60
-1.05 1.0625 2.13546e-58
-1.05 1.0875 -6.04229e-57
-1.01667 -1.0875 -2.55906e-44
-1.01667 -1.0625 3.26877e-45
-1.01667 -1.0375 -3.25335e-46
-1.01667 -1.0125 2.01488e-47
-1.01667 -0.9875 -6.7217e-62
-1.01667 -0.9625 1.34025e-60
-1.01667 -0.9375 -2.99159e-59
-1.01667 -0.9125 8.30871e-58
-1.01667 -0.8875 -2.31144e-56
-1.01667 -0.8625 5.34571e-55
-1.01667 -0.8375 -1.00923e-53
-1.01667 -0.8125 1.89617e-52
-1.01667 -0.7875 -4.76981e-51
-1.01667 -0.7625 1.38149e-49
-1.01667 -0.7375 -3.40054e-48
-1.01667 -0.7125 6.37394e-47
-1.01667 -0.6875 -9.97007e-46
-1.01667 -0.6625 1.99489e-44
-1.01667 -0.6375 -5.76966e-43
-1.01667 -0.6125 1.53581e-41
-1.01667 -0.5875 -2.99662e-40
-1.01667 -0.5625 4.06246e-39
-1.01667 -0.5375 -5.38566e-38
-1.01667 -0.5125 1.37538e-36
-1.01667 -0.4875 -4.01233e-35
-1.01667 -0.4625 8.44256e-34
-1.01667 -0.4375 -1.05381e-32
-1.01667 -0.4125 6.78356e-32
-1.01667 -0.3875 -1.1456e-30
-1.01667 -0.3625 3.83389e-29
-1.01667 -0.3375 -8.79022e-28
-1.01667 -0.3125 1.05557e-26
-1.01667 -0.2875 4.3349e-27
-1.01667 -0.2625 -3.4672e-25
-1.01667 -0.2375 -6.54637e-24
-1.01667 -0.2125 6.28667e-24
-1.01667 -0.1875 7.21397e-24
-1.01667 -0.1625 1.22971e-23
-1.01667 -0.1375 8.22978e-24
-1.01667 -0.1125 1.00537e-23
-1.01667 -0.0875 8.90785e-24
-1.01667 -0.0625 9.78264e-24
-1.01667 -0.0375 9.99626e-24
-1.01667 -0.0125 9.64465e-24
-1.01667 0.0125 9.88133e-24
-1.01667 0.0375 9.98748e-24
-1.01667 0.0625 1.00101e-23
-1.01667 0.0875 9.99456e-24
-1.01667 0.1125 9.95828e-24
-1.01667 0.1375 1.00243e-23
-1.01667 0.1625 1.03594e-23
-1.01667 0.1875 9.56432e-24
-1.01667 0.2125 9.47427e-24
-1.01667 0.2375 1.12893e-23
-1.01667 0.2625 -1.82792e-23
-1.01667 0.2875 -1.89197e-24
-1.01667 0.3125 1.29964e-25
-1.01667 0.3375 -9.86401e-28
-1.01667 0.3625 9.6731e-27
-1.01667 0.3875 -5.80352e-27
-1.01667 0.4125 1.25888e-27
-1.01667 0.4375 -1.38142e-28
-1.01667 0.4625 4.75788e-30
-1.01667 0.4875 8.56524e-31
-1.01667 0.5125 -3.26709e-31
-1.01667 0.5375 9.48764e-32
-1.01667 0.5625 -2.14003e-32
-1.01667 0.5875 3.35945e-33
-1.01667 0.6125 -3.60959e-34
-1.01667 0.6375 2.12755e-35
-1.01667 0.6625 1.36225e-36
-1.01667 0.6875 -7.44037e-37
-1.01667 0.7125 1.7172e-37
-1.01667 0.7375 -3.00239e-38
-1.01667 0.7625 4.1304e-39
-1.01667 0.7875 -4.28545e-40
-1.01667 0.8125 2.67751e-41
-1.01667 0.8375 1.18672e-42
-1.01667 0.8625 -7.52449e-43
-1.01667 0.8875 1.61154e-43
-1.01667 0.9125 -2.55906e-44
-1.01667 0.9375 3.26877e-45
-1.01667 0.9625 -3.25335e-46
-1.01667 0.9875 2.01488e-47
-1.01667 1.0125 -6.7217e-62
-1.01667 1.0375 1.34025e-60
-1.01667 1.0625 -2.99159e-59
-1.01667 1.0875 8.30871e-58
-0.983333 -1.0875 1.72596e-47
-0.983333 -1.0625 -1.2412e-48
-0.983333 -1.0375 5.32493e-50
-0.983333 -1.0125 5.40201e-52
-0.983333 -0.9875 2.46022e-62
-0.983333 -0.9625 -1.59722e-60
-0.983333 -0.9375 2.71565e-59
-0.983333 -0.9125 -3.80753e-58
-0.983333 -0.8875 6.94948e-57
-0.983333 -0.8625 -1.7975e-55
-0.983333 -0.8375 4.0687e-54
-0.983333 -0.8125 -2.03504e-52
-0.983333 -0.7875 1.84422e-51
-0.983333 -0.7625 -4.57129e-50
-0.983333 -0.7375 6.05324e-49
-0.983333 -0.7125 -4.28258e-47
-0.983333 -0.6875 3.74301e-46
-0.983333 -0.6625 -3.44657e-44
-0.983333 -0.6375 6.13219e-44
-0.983333 -0.6125 -2.45191e-42
-0.983333 -0.5875 6.01893e-41
-0.983333 -0.5625 -2.88415e-39
-0.983333 -0.5375 4.56875e-38
-0.983333 -0.5125 -8.72321e-37
-0.983333 -0.4875 7.3728e-36
-0.983333 -0.4625 -5.53761e-35
-0.983333 -0.4375 1.00732e-33
-0.983333 -0.4125 -6.37314e-33
-0.983333 -0.3875 3.11428e-30
-0.983333 -0.3625 -6.58672e-32
-0.983333 -0.3375 2.24819e-30
-0.983333 -0.3125 -3.76706e-29
-0.983333 -0.2875 9.83515e-27
-0.983333 -0.2625 -1.12452e-25
-0.983333 -0.2375 2.6656e-24
-0.983333 -0.2125 1.70323e-25
-0.983333 -0.1875 1.19699e-24
-0.983333 -0.1625 9.47237e-25
-0.983333 -0.1375 1.05207e-24
-0.983333 -0.1125 -7.75559e-27
-0.983333 -0.0875 -2.39836e-26
-0.983333 -0.0625 8.58237e-25
-0.983333 -0.0375 3.40489e-24
-0.983333 -0.0125 -5.14387e-27
-0.983333 0.0125 -2.00423e-26
-0.983333 0.0375 -1.63252e-26
-0.983333 0.0625 -1.22058e-26
-0.983333 0.0875 -5.65164e-26
-0.983333 0.1125 2.42464e-24
-0.983333 0.1375 6.38109e-26
-0.983333 0.1625 -3.47026e-26
-0.983333 0.1875 -1.50974e-26
-0.983333 0.2125 -1.56837e-26
-0.983333 0.2375 -2.43706e-26
-0.983333 0.2625 2.06613e-25
-0.983333 0.2875 3.8429e-27
-0.983333 0.3125 -3.12996e-25
-0.983333 0.3375 8.62246e-28
-0.983333 0.3625 2.2027e-28
-0.983333 0.3875 4.06645e-28
-0.983333 0.4125 -2.77514e-28
-0.983333 0.4375 -6.04819e-30
-0.983333 0.4625 1.19149e-30
-0.983333 0.4875 -8.74325e-32
-0.983333 0.5125 3.14014e-31
